method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA,100,50,3,0.2,0,0.1,0.1718297518135366,6.473204329050789e-4,0.5805622821298004,0.009164974579075898,0.7975,0.013837531308989789,0.05063636363636363,0.003940993529873448,0.2450382026800136,NA
EFA,100,50,3,0.2,0,1,0.9388787785135471,0.001977855141731729,2.0779184374288895,0.04437565968217159,0.78225,0.012729186814942148,0.11436363636363636,0.004533832709196257,0.49954876202275955,NA
EFA,100,50,3,0.2,0,5,4.819199299472357,0.010855179239138939,6.140076879189068,0.0683297029972019,0.79625,0.007690140283230051,0.22972727272727272,0.0038652808038306613,0.27321836556355306,NA
EFA,100,50,3,0.2,1,0.1,0.1930603328387944,4.253228082076297e-4,0.6209000635674083,0.008324924926415367,0.73025,0.011085611522522465,0.017818181818181816,0.002034513130071605,0.8421823626690692,NA
EFA,100,50,3,0.2,1,1,0.9177119397388726,0.0018872137522417593,2.3331291065225765,0.028403410471620254,0.72775,0.007435709295505892,0.11736363636363636,0.003175830651273734,0.6017906064030786,NA
EFA,100,50,3,0.2,1,5,4.769754939082497,0.010862203613903765,4.744113024724822,0.04458750619205831,0.7455,0.007844608262232015,0.24227272727272728,0.004101099439468036,0.28281487334344496,NA
EFA,100,50,3,0.2,2,0.1,0.19822918598023337,3.354245317125893e-4,0.8768211945670585,0.011416064361195816,0.63775,0.010295476843465943,0.027,0.0020772902587907764,0.8650522521694841,NA
EFA,100,50,3,0.2,2,1,0.9083209169695584,0.002025966221121827,2.195762087796457,0.02396082153947176,0.748,0.007209701656781505,0.15590909090909091,0.0036003148891604296,0.49300707841648433,NA
EFA,100,50,3,0.2,2,5,4.735976091252472,0.00975384421860359,3.905263823735734,0.029161986518246565,0.74775,0.007009148062757454,0.24763636363636363,0.003751884074660617,0.2409969066966891,NA
EFA,100,50,3,0.5,0,0.1,0.10952614663831126,7.5060391188487e-4,0.34129175087637303,0.0048962465875702806,0.5684,0.016905990809548112,0.289,0.03516009560897586,0.3391102588257477,NA
EFA,100,50,3,0.5,0,1,0.9432794425884246,0.002403236021452876,2.2868139205109683,0.03455312320510182,0.7441,0.011828825432438805,0.224,0.023037957260735483,0.3247483902737263,NA
EFA,100,50,3,0.5,0,5,4.933000810801198,0.009411466599376857,7.836556538846394,0.09499260924629095,0.7901,0.009016813699579764,0.2036,0.017563460693016952,0.24063946059201372,NA
EFA,100,50,3,0.5,1,0.1,0.1443785164034266,9.762116642778554e-4,0.33809933403392906,0.0048463019965966385,0.4558,0.009481699545051311,0,0,0.6623143462049882,NA
EFA,100,50,3,0.5,1,1,0.9283922370095251,0.0020936263506027347,2.238244883618262,0.032803459275353615,0.6493,0.00486433111246728,0,0,0.6308318772513574,NA
EFA,100,50,3,0.5,1,5,4.852971434943221,0.010843561723158517,7.061364855942421,0.07905060937621285,0.7151,0.005292447448959696,0.0924,0.007128148781451257,0.4175178868922651,NA
EFA,100,50,3,0.5,2,0.1,0.16784442412639877,6.430446866548024e-4,0.39657593025286264,0.006365258266567993,0.4993,0.009064588665613441,0,0,0.6599293890296607,NA
EFA,100,50,3,0.5,2,1,0.9197423188921491,0.0021216697310295473,2.386299708116668,0.029523808113289068,0.6794,0.005163625693544246,0.0106,0.001716350368036371,0.5919426298474363,NA
EFA,100,50,3,0.5,2,5,4.808754600459043,0.010250028040428188,6.645953747200197,0.05367309634017944,0.7247,0.004558165057001413,0.1334,0.0057843746333540585,0.3372228031714102,NA
EFA,100,50,3,0.8,0,0.1,0.1076162990005659,8.8858298653547e-4,0.8368962657774085,0.01425053572110318,0.605,0.00820105380909049,0,0,0.33229703989844106,NA
EFA,100,50,3,0.8,0,1,0.9160517369049872,0.002667410608902983,2.383477727927139,0.023844136801722638,0.739909090909091,0.0054221489719556435,0,0,0.3066194684439104,NA
EFA,100,50,3,0.8,0,5,4.818865460189784,0.01188953357940693,4.1369702072272085,0.02439130270190584,0.7856363636363637,0.0037072521054644023,0.07975,0.004789706450168724,0.22811406661646377,NA
EFA,100,50,3,0.8,1,0.1,0.10728402694993538,8.871810184494094e-4,0.8103406807111567,0.014029755080114762,0.614,0.009113305744777585,0,0,0.327490260943171,NA
EFA,100,50,3,0.8,1,1,0.9194525469447519,0.0023453039795805694,2.326522379434647,0.022104631417127964,0.7394545454545455,0.005149440515645912,0,0,0.31678618023145655,NA
EFA,100,50,3,0.8,1,5,4.82511771892871,0.009831016066342329,4.102032015583202,0.022307986580773757,0.7850909090909091,0.0045123126024381385,0.07675,0.0057103375158964595,0.22954058399076277,NA
EFA,100,50,3,0.8,2,0.1,0.1084707545808448,9.372125163969869e-4,0.8214423571841223,0.015812661677795513,0.6143636363636363,0.008746630658456359,0,0,0.3331185569309312,NA
EFA,100,50,3,0.8,2,1,0.919328877860054,0.0024527628755715383,2.333484895424517,0.0234162139189083,0.7512727272727273,0.005436947430502732,2.5e-4,2.5e-4,0.3158411764480465,NA
EFA,100,50,3,0.8,2,5,4.815522963860451,0.010701124635481419,4.1176497859546615,0.025049761010676585,0.7756363636363637,0.004106195295281091,0.07024999999999999,0.005182222427967492,0.2339358892093533,NA
EFA,100,50,5,0.2,0,0.1,0.14106431497618402,0.0010261008884928117,0.6473076003488674,0.01054112773028652,0.53,0.007531499508629397,0.1601764705882353,0.0030955957330656945,0.11861030127024731,NA
EFA,100,50,5,0.2,0,1,0.8707946320306603,0.002111196025409611,3.571756253897972,0.033609874863651086,0.746625,0.005916226509449339,0.16829411764705882,0.0033805970797017243,0.20395926241544501,NA
EFA,100,50,5,0.2,0,5,4.656001626910441,0.01165797172578904,7.830996638044814,0.054965941590322774,0.746875,0.005508759668092999,0.2560588235294118,0.0036265644241088198,0.15827248911002934,NA
EFA,100,50,5,0.2,1,0.1,0.1834558809557138,5.513686814647944e-4,0.9142030150370375,0.01099915514842308,0.643,0.006269716375909155,0.166,0.003927428776558399,0.1255514431476344,NA
EFA,100,50,5,0.2,1,1,0.847767503961196,0.0020057618239538075,3.1645399075547416,0.02707181167277629,0.715,0.006940402864329414,0.16805882352941176,0.0029716249227932103,0.42033818249519317,NA
EFA,100,50,5,0.2,1,5,4.55377198344413,0.010612860521359176,5.294424213649967,0.030140583438467962,0.722625,0.004838604101025898,0.2721176470588235,0.0034255055521370133,0.16148059026947817,NA
EFA,100,50,5,0.2,2,0.1,0.1939413579919571,4.3917961189696527e-4,1.2446924330667741,0.011113862737025762,0.6391249999999999,0.0070524169329357995,0.11582352941176471,0.003249652145828779,0.5202940047315915,NA
EFA,100,50,5,0.2,2,1,0.8319223590846639,0.0016088534645330166,2.9801860479959776,0.021089865633076327,0.73425,0.005971364749343065,0.21435294117647058,0.003266414363492524,0.29455112445841003,NA
EFA,100,50,5,0.2,2,5,4.502626047219693,0.009497159837116863,4.202842038416871,0.028342699398150283,0.7085,0.005370961014774006,0.2838235294117647,0.003184114172334041,0.13746436793773714,NA
EFA,100,50,5,0.5,0,0.1,0.10129277070662569,8.461758664268668e-4,0.6328801114568858,0.007694633992750803,0.4846,0.009681722861957865,0.3318,0.03372029332343036,0.17964542703292047,NA
EFA,100,50,5,0.5,0,1,0.8749705467770812,0.002610586313318989,4.249750810032543,0.048070473578502325,0.70215,0.005983670962028091,0.222,0.022571099783895012,0.18812488161104793,NA
EFA,100,50,5,0.5,0,5,4.719872248030496,0.01156017880195758,10.508537142775479,0.07255973854823315,0.75015,0.004657162941820553,0.2082,0.015632380277210287,0.13796426609193613,NA
EFA,100,50,5,0.5,1,0.1,0.1350522834957888,9.410329889764869e-4,0.6515333017101956,0.009734033890396471,0.44565,0.005240987936014979,0,0,0.3935836891855802,NA
EFA,100,50,5,0.5,1,1,0.8562860922330345,0.002263758664930588,3.987525908602155,0.04071656806051126,0.6621,0.004205083503656885,2e-4,2e-4,0.3761501453274546,NA
EFA,100,50,5,0.5,1,5,4.625508168803246,0.009888690567797925,8.643654813452644,0.0539289732271751,0.7177,0.0038345979468702345,0.1418,0.006858424002493561,0.19955462149222486,NA
EFA,100,50,5,0.5,2,0.1,0.1605265052568477,7.125072712507029e-4,0.7842277863103365,0.011222820440368488,0.4867,0.005677004829871456,0,0,0.3944463132813728,NA
EFA,100,50,5,0.5,2,1,0.8471197451466801,0.0022440000752503666,3.958493133905288,0.036152721726295814,0.6916,0.003604066166053687,0.0228,0.002526945694995155,0.3409529774715145,NA
EFA,100,50,5,0.5,2,5,4.597081005357228,0.009518093292123804,7.807517312951775,0.0429558198142206,0.71515,0.0030079482251615507,0.1816,0.005871898493604255,0.16475745016925947,NA
EFA,100,50,5,0.8,0,0.1,0.10410267571033924,9.311755583079284e-4,1.26174233058816,0.016650571272259253,0.5447142857142857,0.00492872536955796,0,0,0.20234380968458116,NA
EFA,100,50,5,0.8,0,1,0.8460728525704713,0.002430754193841377,3.1311446580668925,0.02316816393573461,0.7163809523809523,0.0040802773809885,2.5e-4,2.5e-4,0.1876426392846652,NA
EFA,100,50,5,0.8,0,5,4.595745839816081,0.010943018519819676,4.492225755359476,0.018312033336524404,0.7440476190476191,0.003280607529465505,0.11725,0.0048940156200086744,0.12848069988288277,NA
EFA,100,50,5,0.8,1,0.1,0.10270565246456347,9.970296855620275e-4,1.2737004504598572,0.016778935954017908,0.5388095238095238,0.005329937333558487,0,0,0.20615115866975234,NA
EFA,100,50,5,0.8,1,1,0.8492210629575708,0.0024271470824127205,3.091347150289372,0.02369620378074985,0.7128571428571429,0.004824741734221877,0,0,0.18698497733647343,NA
EFA,100,50,5,0.8,1,5,4.6092492359818,0.00947947149445995,4.50429184329811,0.01794074479040271,0.7394761904761905,0.002728627208947101,0.10225,0.005366551382160962,0.125467924281522,NA
EFA,100,50,5,0.8,2,0.1,0.10615505179443038,0.001157529166131778,1.3002467275113168,0.020370305249189237,0.5402857142857143,0.005478718282258545,0,0,0.20295302597008988,NA
EFA,100,50,5,0.8,2,1,0.8461881219904964,0.002176797169678936,3.0949552872302872,0.023027254884201712,0.716,0.0038789489247127856,0,0,0.18436010991677196,NA
EFA,100,50,5,0.8,2,5,4.621034279402917,0.010586581746730613,4.497410774824362,0.0183854273951769,0.7471904761904762,0.0029308240299430128,0.11025,0.00515045109331663,0.12465718889726601,NA
EFA,100,100,3,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,200,3,0.2,0,0.1,0.17983615432949807,6.127011775484716e-4,2.3589849825532228,0.021805017144483237,0.7926875,0.012342778618600342,0.05143181818181818,0.003622369623781248,0.21990011513367438,NA
